Date,NetPnL,TradesOpened
2021-06-04,1054.27,2
2021-06-08,56.84,1
2021-06-09,346.50,2
2021-06-11,497.49,1
2021-06-14,-525.25,3
2021-06-15,28.10,3
2021-06-16,-205.80,2
2021-06-17,326.25,1
2021-06-18,-348.29,3
2021-06-20,0.00,1
2021-06-21,344.63,1
2021-06-22,-142.63,2
2021-06-23,-51.90,2
2021-06-24,-490.72,4
2021-06-25,213.50,4
2021-06-28,-201.26,1
2021-06-29,393.02,2
2021-06-30,-201.57,4
2021-07-01,-8.43,3
2021-07-02,-145.93,3
2021-07-05,-428.46,2
2021-07-06,320.12,5
2021-07-07,-100.88,2
2021-07-08,28.49,2
2021-07-09,-119.54,1
2021-07-12,-131.88,3
2021-07-13,-308.52,3
2021-07-14,97.61,1
2021-07-15,-821.28,7
2021-07-16,-617.34,4
2021-07-19,-251.11,4
2021-07-20,528.56,4
2021-07-21,7.09,3
2021-07-23,-30.34,4
2021-07-26,-374.92,3
2021-07-28,1032.77,2
2021-07-29,193.03,3
2021-07-30,-152.06,3
2021-08-02,381.29,2
2021-08-03,-175.88,2
2021-08-04,-605.97,3
2021-08-05,-220.96,4
2021-08-06,449.58,2
2021-08-09,-308.61,4
2021-08-10,475.99,3
2021-08-11,-715.07,5
2021-08-12,-380.16,2
2021-08-13,-498.01,3
2021-08-16,-42.40,1
2021-08-17,-355.49,4
2021-08-18,-126.06,2
2021-08-19,626.18,7
2021-08-20,-401.44,2
2021-08-23,1388.50,3
2021-08-24,-349.48,8
2021-08-25,-379.77,3
2021-08-26,-82.28,1
2021-08-27,301.42,2
2021-08-29,0.00,1
2021-08-30,-416.81,2
2021-08-31,-48.25,1
2021-09-02,350.61,6
2021-09-03,-718.87,7
2021-09-06,-181.84,4
2021-09-07,602.80,4
2021-09-08,-1130.52,8
2021-09-09,374.01,1
2021-09-10,442.53,4
2021-09-13,-314.59,3
2021-09-14,-130.14,1
2021-09-15,-187.24,1
2021-09-20,-555.75,3
2021-09-21,-150.01,1
2021-09-22,-207.63,1
2021-09-23,1700.79,6
2021-09-24,-80.08,1
2021-09-28,28.61,1
2021-09-29,552.81,2
2021-09-30,-90.45,1
2021-10-01,332.09,2
2021-10-04,808.12,5
2021-10-05,46.89,1
2021-10-07,-109.05,1
2021-10-11,-191.48,1
2021-10-12,296.17,5
2021-10-13,61.03,1
2021-10-14,45.21,1
2021-10-15,428.45,4
2021-10-18,72.04,1
2021-10-19,-360.98,1
2021-10-20,353.97,1
2021-10-21,-764.53,4
2021-10-22,236.67,6
2021-10-25,168.65,1
2021-10-26,-74.00,2
2021-10-27,-168.51,1
2021-10-28,-173.37,2
2021-10-29,-151.56,3
2021-11-01,-16.68,2
2021-11-02,-244.11,3
2021-11-03,-376.32,6
2021-11-04,610.01,2
2021-11-05,-360.00,4
2021-11-08,-640.46,4
2021-11-09,7.52,1
2021-11-10,81.38,2
2021-11-11,-160.71,1
2021-11-15,37.52,1
2021-11-16,-227.64,3
2021-11-17,-614.51,7
2021-11-18,312.64,1
2021-11-19,-50.30,4
2021-11-22,-146.41,2
2021-11-23,-68.22,1
2021-11-24,-122.71,2
2021-11-25,390.10,4
2021-11-26,278.27,3
2021-11-29,10.27,1
2021-11-30,-106.17,2
2021-12-01,-234.35,1
2021-12-02,-176.89,1
2021-12-03,-540.07,5
2021-12-06,446.27,1
2021-12-07,-131.20,1
2021-12-08,-282.90,2
2021-12-09,-94.51,1
2021-12-10,-68.53,2
2021-12-13,-436.11,3
2021-12-14,-9.11,6
2021-12-15,238.64,3
2021-12-16,-203.53,4
2021-12-17,-249.51,3
2021-12-20,-500.07,3
2021-12-21,-510.26,3
2021-12-23,-279.68,4
2021-12-24,7.16,4
2021-12-27,-431.44,5
2021-12-28,-104.92,1
2021-12-29,154.38,5
2021-12-30,-75.46,1
2021-12-31,47.95,1
2022-01-03,70.72,1
2022-01-05,8.11,3
2022-01-06,-282.93,1
2022-01-07,5.83,1
2022-01-10,177.79,2
2022-01-11,199.59,2
2022-01-12,-404.41,2
2022-01-13,-221.40,3
2022-01-14,-329.90,3
2022-01-17,-138.70,2
2022-01-19,-81.49,1
