"Label","Score","Symbol","TF","Strategy","RunId","Reason","Trades","ExpectancyR","DrawdownPct","Consistency","VersionKind"
"rsi-divergence/ETHUSD/H1",,"ETHUSD","H1","rsi-divergence","08f7216a","trades=11 below floor 20 (D3)","11","0","0","0","sv1-null"
"rsi-divergence/ETHUSD/H4",,"ETHUSD","H4","rsi-divergence","ff0b8cba","trades=9 below floor 20 (D3)","9","0","0","0","sv1-null"
"rsi-divergence/EURGBP/H1","60.4","EURGBP","H1","rsi-divergence","f075270e",,"25","0.0888347542883432","0.021849418057334","40","sv1-partial"
"rsi-divergence/EURGBP/H4",,"EURGBP","H4","rsi-divergence","eca22c86","trades=10 below floor 20 (D3)","10","0","0","0","sv1-null"
"rsi-divergence/EURJPY/H1","54.1","EURJPY","H1","rsi-divergence","7b2b3240",,"35","-0.015274699359571934","0.017065266908854","40","sv1-partial"
"rsi-divergence/EURJPY/H4",,"EURJPY","H4","rsi-divergence","6daf92e1","trades=17 below floor 20 (D3)","17","0","0","0","sv1-null"
"rsi-divergence/EURUSD/H1","59.9","EURUSD","H1","rsi-divergence","17e94114",,"20","0.057101195564253734","0.00516297471864443","50","sv1-partial"
"rsi-divergence/EURUSD/H4",,"EURUSD","H4","rsi-divergence","ca73d61b","trades=15 below floor 20 (D3)","15","0","0","0","sv1-null"
"rsi-divergence/GBPJPY/H1","52.9","GBPJPY","H1","rsi-divergence","ed056aac",,"33","-0.1370059211792784","0.0309705465648699","33.33333333333333","sv1-partial"
"rsi-divergence/GBPJPY/H4",,"GBPJPY","H4","rsi-divergence","6bec4d6e","trades=17 below floor 20 (D3)","17","0","0","0","sv1-null"
"rsi-divergence/GBPUSD/H1","50.6","GBPUSD","H1","rsi-divergence","1692ec2b",,"23","-0.3936956501490081","0.0340129868846656","20","sv1-partial"
"rsi-divergence/GBPUSD/H4",,"GBPUSD","H4","rsi-divergence","5fd27793","trades=7 below floor 20 (D3)","7","0","0","0","sv1-null"
"rsi-divergence/NZDUSD/H1","54.6","NZDUSD","H1","rsi-divergence","a9884c0f",,"33","-0.006183091356780117","0.00445491852361506","42.857142857142854","sv1-partial"
"rsi-divergence/NZDUSD/H4",,"NZDUSD","H4","rsi-divergence","04c19f1b","trades=16 below floor 20 (D3)","16","0","0","0","sv1-null"
"rsi-divergence/USDCAD/H1",,"USDCAD","H1","rsi-divergence","dac133bb","trades=5 below floor 20 (D3)","5","0","0","0","sv1-null"
"rsi-divergence/USDCAD/H4",,"USDCAD","H4","rsi-divergence","2d86fcc4","trades=17 below floor 20 (D3)","17","0","0","0","sv1-null"
"rsi-divergence/USDCHF/H1","47.1","USDCHF","H1","rsi-divergence","fc4901fd",,"22","-0.20671306314396665","0.0349585374153892","0","sv1-partial"
"rsi-divergence/USDCHF/H4",,"USDCHF","H4","rsi-divergence","51523b05","trades=14 below floor 20 (D3)","14","0","0","0","sv1-null"
"rsi-divergence/USDJPY/H1",,"USDJPY","H1","rsi-divergence","174fc2f8","trades=13 below floor 20 (D3)","13","0","0","0","sv1-null"
"rsi-divergence/USDJPY/H4",,"USDJPY","H4","rsi-divergence","7387d14e","trades=5 below floor 20 (D3)","5","0","0","0","sv1-null"
"rsi-divergence/XAGUSD/H1",,"XAGUSD","H1","rsi-divergence","677c2f91","trades=13 below floor 20 (D3)","13","0","0","0","sv1-null"
"rsi-divergence/XAGUSD/H4",,"XAGUSD","H4","rsi-divergence","f77656ee","trades=5 below floor 20 (D3)","5","0","0","0","sv1-null"
"rsi-divergence/XAUUSD/H1",,"XAUUSD","H1","rsi-divergence","44fa69fe","trades=6 below floor 20 (D3)","6","0","0","0","sv1-null"
"rsi-divergence/XAUUSD/H4",,"XAUUSD","H4","rsi-divergence","d5d31d19","trades=2 below floor 20 (D3)","2","0","0","0","sv1-null"
"session-breakout/AUDUSD/H1",,"AUDUSD","H1","session-breakout","cabd00a3","trades=12 below floor 20 (D3)","12","0","0","0","sv1-null"
"session-breakout/AUDUSD/H4",,"AUDUSD","H4","session-breakout","f5f5e525","trades=0 below floor 20 (D3)","0","0","0","0","sv1-null"
"session-breakout/BTCUSD/H1","55.9","BTCUSD","H1","session-breakout","a76d0266",,"27","-0.05557122579078953","0.00814558537310843","50","sv1-partial"
"session-breakout/BTCUSD/H4",,"BTCUSD","H4","session-breakout","613f7522","trades=0 below floor 20 (D3)","0","0","0","0","sv1-null"
"session-breakout/ETHUSD/H1",,"ETHUSD","H1","session-breakout","4e6376d1","trades=6 below floor 20 (D3)","6","0","0","0","sv1-null"
"session-breakout/ETHUSD/H4",,"ETHUSD","H4","session-breakout","089bd712","trades=0 below floor 20 (D3)","0","0","0","0","sv1-null"
"session-breakout/EURGBP/H1","60.2","EURGBP","H1","session-breakout","40496c8c",,"56","0.018888874171513838","0.00802793048850753","66.66666666666666","sv1-partial"
"session-breakout/EURGBP/H4",,"EURGBP","H4","session-breakout","87a241a5","trades=0 below floor 20 (D3)","0","0","0","0","sv1-null"
"session-breakout/EURJPY/H1","67.5","EURJPY","H1","session-breakout","7419ab6a",,"37","0.20600817423245119","0.00388383907828246","33.33333333333333","sv1-partial"
"session-breakout/EURJPY/H4",,"EURJPY","H4","session-breakout","b5837c15","trades=0 below floor 20 (D3)","0","0","0","0","sv1-null"
"session-breakout/EURUSD/H1","69.9","EURUSD","H1","session-breakout","22b1120a",,"136","0.14547052629048338","0.0192380271994657","71.42857142857143","sv1-partial"
"session-breakout/EURUSD/H4",,"EURUSD","H4","session-breakout","ab9599c7","trades=0 below floor 20 (D3)","0","0","0","0","sv1-null"
"session-breakout/GBPJPY/H1","51.5","GBPJPY","H1","session-breakout","b99bac4c",,"58","-0.0788992100448348","0.021312756657984","25","sv1-partial"
